S No.,Model,Year,Price,Transmission,Kms_driven,FuelType,Tax,MPG,EngineSize
1, A1,2017,12500,Manual,15735,Petrol,150,55.4,1.4
2, A6,2016,16500,Automatic,36203,Diesel,20,64.2,2
3, A1,2016,11000,Manual,29946,Petrol,30,55.4,1.4
4, A4,2017,16800,Automatic,25952,Diesel,145,67.3,2
5, A3,2019,17300,Manual,1998,Petrol,145,49.6,1
6, A1,2016,13900,Automatic,32260,Petrol,30,58.9,1.4
7, A6,2016,13250,Automatic,76788,Diesel,30,61.4,2
8, A4,2016,11750,Manual,75185,Diesel,20,70.6,2
9, A3,2015,10200,Manual,46112,Petrol,20,60.1,1.4
10, A1,2016,12000,Manual,22451,Petrol,30,55.4,1.4
11, A3,2017,16100,Manual,28955,Petrol,145,58.9,1.4
12, A6,2016,16500,Automatic,52198,Diesel,125,57.6,2
13, Q3,2016,17000,Manual,44915,Diesel,145,52.3,2
14, A3,2017,16400,Manual,21695,Petrol,30,58.9,1.4
15, A6,2015,15400,Manual,47348,Diesel,30,61.4,2
16, A3,2017,14500,Automatic,26156,Petrol,145,58.9,1.4
17, Q3,2016,15700,Automatic,28396,Diesel,145,53.3,2
18, A3,2014,13900,Automatic,30516,Petrol,30,56.5,1.4
19, Q5,2016,19000,Automatic,37652,Diesel,200,47.1,2
20, Q3,2014,17000,Manual,34110,Petrol,145,47.9,1.4
21, A5,2017,17300,Automatic,37100,Diesel,145,67.3,2
22, Q5,2016,20200,Automatic,23714,Diesel,200,47.1,2
23, A5,2017,22500,Automatic,21649,Diesel,145,58.9,3
24, A6,2015,17500,Automatic,62748,Diesel,150,53.3,3
25, Q5,2016,20000,Automatic,23789,Diesel,200,47.1,2
26, A4,2017,18500,Automatic,17418,Diesel,145,62.8,2
27, A5,2017,19500,Automatic,33300,Diesel,145,61.4,2
28, A1,2018,15800,Manual,10793,Petrol,145,56.5,1.4
29, A4,2018,17200,Automatic,25138,Diesel,145,70.6,2
30, A6,2015,14000,Manual,61176,Diesel,30,62.8,2
31, A1,2015,9500,Automatic,54754,Diesel,0,76.3,1.6
32, Q3,2017,16500,Manual,21369,Petrol,125,51.4,1.4
33, Q3,2014,15000,Automatic,39190,Diesel,205,47.9,2
34, Q3,2017,16000,Automatic,47482,Petrol,150,47.9,1.4
35, Q3,2016,16900,Automatic,40501,Diesel,150,51.4,2
36, Q3,2014,12300,Automatic,43195,Diesel,200,47.9,2
37, A1,2017,10800,Manual,31447,Petrol,145,67.3,1
38, A6,2016,19400,Automatic,34030,Diesel,125,58.9,2
39, A4,2017,16000,Manual,29063,Diesel,145,70.6,2
40, A3,2017,17100,Manual,29545,Diesel,145,65.7,2
41, A3,2015,11300,Manual,75619,Diesel,20,68.9,2
42, Q3,2016,17200,Automatic,39603,Diesel,160,50.4,2
43, Q3,2017,20300,Automatic,42908,Diesel,145,51.4,2
44, A5,2014,13200,Automatic,83872,Diesel,125,58.9,2
45, Q3,2016,15200,Automatic,58750,Petrol,145,47.9,1.4
46, A3,2019,15700,Manual,2029,Petrol,145,49.6,1
47, A6,2018,16600,Automatic,22958,Petrol,145,50.4,1.8
48, A4,2017,14400,Automatic,32097,Diesel,145,72.4,2
49, A5,2017,20200,Automatic,13057,Petrol,145,53.3,2
50, S4,2017,23700,Automatic,20278,Petrol,145,38.7,3
51, A4,2016,12750,Manual,52561,Diesel,0,74.3,2
52, A6,2015,13000,Automatic,31604,Diesel,20,67.3,2
53, Q3,2016,15900,Manual,32011,Petrol,145,49.6,1.4
54, Q3,2016,15000,Manual,39134,Diesel,30,60.1,2
55, Q5,2015,14700,Automatic,89483,Diesel,205,47.1,2
56, A3,2015,15000,Automatic,56291,Petrol,200,42.8,1.8
57, A6,2016,16000,Automatic,47767,Diesel,20,61.4,2
